game_id,team_id,player_id,player_name,is_starter,minutes_played,jersey_number,starting_position
1787315,424,371756,Liam Kelly,False,0,12,Sub
1787315,424,376888,Greg Taylor,False,0,24,Sub
1787315,424,399261,Zander Clark,False,0,21,Sub
1787315,424,410997,Tommy Conway,False,0,19,Sub
1787317,338,332823,Unai Simón,True,98,23,GK
1787317,338,106883,Dani Carvajal,True,98,2,DR
1787317,338,106875,Nacho,True,98,4,DC
1787317,338,367008,Robin Le Normand,True,98,3,DC
1787317,338,363496,Marc Cucurella,True,98,24,DL
1787317,338,294193,Fabián Ruiz,True,98,8,MC
1787317,338,303139,Rodri,True,88,16,MC
1787317,338,402197,Pedri,True,61,20,MC
1787317,338,480249,Lamine Yamal,True,88,19,FWR
1787317,338,91213,Álvaro Morata,True,69,7,FW
1787317,338,408449,Nico Williams,True,70,17,FWL
1787317,338,238916,Mikel Merino,False,28,6,Sub
1787317,338,261212,Dani Olmo,False,37,10,Sub
1787317,338,298839,Mikel Oyarzabal,False,29,21,Sub
1787317,338,349760,Ferran Torres,False,10,11,Sub
1787317,338,372424,Martín Zubimendi,False,10,18,Sub
1787317,338,9446,Jesús Navas,False,0,22,Sub
1787317,338,74603,Joselu,False,0,9,Sub
1787317,338,107252,Álex Grimaldo,False,0,12,Sub
1787317,338,122117,Aymeric Laporte,False,0,14,Sub
1787317,338,135366,Ayoze Pérez,False,0,26,Sub
1787317,338,270504,Álex Remiro,False,0,13,Sub
1787317,338,276366,David Raya,False,0,1,Sub
1787317,338,357839,Dani Vivian,False,0,5,Sub
1787317,338,395242,Álex Baena,False,0,15,Sub
1787317,338,463838,Fermín López,False,0,25,Sub
1787317,337,119120,Dominik Livakovic,True,98,1,GK
1787317,337,413272,Josip Stanisic,True,98,2,DR
1787317,337,336048,Marin Pongracic,True,98,3,DC
1787317,337,402666,Josip Sutalo,True,98,6,DC
1787317,337,402664,Josko Gvardiol,True,98,4,DL
1787317,337,20874,Luka Modric,True,67,10,MC
1787317,337,87449,Marcelo Brozovic,True,98,11,MC
1787317,337,93894,Mateo Kovacic,True,67,8,MC
1787317,337,369887,Lovro Majer,True,98,7,FWR
1787317,337,98126,Ante Budimir,True,58,16,FW
1787317,337,75217,Andrej Kramaric,True,74,9,FWL
1787317,337,70524,Ivan Perisic,False,40,14,Sub
1787317,337,124271,Bruno Petkovic,False,24,17,Sub
1787317,337,129903,Mario Pasalic,False,31,15,Sub
1787317,337,407080,Luka Sucic,False,31,25,Sub
1787317,337,29239,Domagoj Vida,False,0,21,Sub
1787317,337,232553,Ivica Ivusic,False,0,23,Sub
1787317,337,242432,Marko Pjaca,False,0,20,Sub
1787317,337,261474,Martin Erlic,False,0,5,Sub
1787317,337,270829,Borna Sosa,False,0,19,Sub
1787317,337,271603,Josip Juranovic,False,0,22,Sub
1787317,337,298710,Luka Ivanusec,False,0,18,Sub
1787317,337,343975,Nikola Vlasic,False,0,13,Sub
1787317,337,407944,Martin Baturina,False,0,26,Sub
1787317,337,423157,Marco Pasalic,False,0,24,Sub
1787317,337,439531,Nediljko Labrovic,False,0,12,Sub
1787319,464,76662,Jan Oblak,True,95,1,GK
1787319,464,401549,Zan Karnicnik,True,95,2,DR
1787319,464,361696,Vanja Drkusic,True,95,21,DC
1787319,464,360941,Jaka Bijol,True,95,6,DC
1787319,464,202250,Erik Janza,True,95,13,DL
1787319,464,112788,Petar Stojanovic,True,67,20,MR
1787319,464,383578,Adam Gnezda Cerin,True,95,22,MC
1787319,464,316390,Timi Max Elsnik,True,75,10,MC
1787319,464,333308,Jan Mlakar,True,75,17,ML
1787319,464,424191,Benjamin Sesko,True,94,11,FW
1787319,464,114947,Andraz Sporar,True,94,9,FW
1787319,464,367278,Zan Celar,False,20,19,Sub
1787319,464,412161,David Brekalo,False,1,23,Sub
1787319,464,90287,Jasmin Kurtic,False,1,14,Sub
1787319,464,254128,Jon Gorenc Stankovic,False,20,5,Sub
1787319,464,275693,Benjamin Verbic,False,28,7,Sub
1787319,464,384577,Sandi Lovric,False,0,8,Sub
1787319,464,401552,Tomi Horvat,False,0,15,Sub
1787319,464,412160,Igor Vekic,False,0,16,Sub
1787319,464,424314,Nino Zugelj,False,0,24,Sub
1787319,464,443812,Zan Vipotnik,False,0,18,Sub
1787319,464,43194,Josip Ilicic,False,0,26,Sub
1787319,464,78881,Vid Belec,False,0,12,Sub
1787319,464,98096,Miha Blazic,False,0,4,Sub
1787319,464,106321,Jure Balkovec,False,0,3,Sub
1787319,464,499161,Adrian Zeljkovic,False,0,25,Sub
1787319,425,19545,Kasper Schmeichel,True,95,1,GK
1787319,425,87182,Jannik Vestergaard,True,95,3,DC
1787319,425,130331,Andreas Christensen,True,95,6,DC
1787319,425,231135,Joachim Andersen,True,95,2,DC
1787319,425,401520,Alexander Bah,True,95,18,MR
1787319,425,101859,Pierre-Emile Højbjerg,True,83,23,MC
1787319,425,403647,Morten Hjulmand,True,89,21,MC
1787319,425,416970,Victor Kristiansen,True,77,17,ML
1787319,425,69344,Christian Eriksen,True,95,10,AMC
1787319,425,353565,Jonas Wind,True,83,19,FW
1787319,425,439584,Rasmus Højlund,True,83,9,FW
1787319,425,73744,Thomas Delaney,False,6,8,Sub
1787319,425,101856,Christian Nørgaard,False,12,15,Sub
1787319,425,132943,Yussuf Poulsen,False,12,20,Sub
1787319,425,322163,Kasper Dolberg,False,12,12,Sub
1787319,425,363652,Joakim Mæhle,False,18,5,Sub
1787319,425,20769,Simon Kjær,False,0,4,Sub
1787319,425,29026,Zanka,False,0,13,Sub
1787319,425,81842,Frederik Rønnow,False,0,22,Sub
1787319,425,280476,Anders Dreyer,False,0,24,Sub
1787319,425,302812,Rasmus Kristensen,False,0,25,Sub
1787319,425,307202,Jacob Bruun Larsen,False,0,26,Sub
1787319,425,339674,Mathias Jensen,False,0,7,Sub
1787319,425,377276,Andreas Skov Olsen,False,0,11,Sub
1787319,425,401168,Mikkel Damsgaard,False,0,14,Sub
1787319,425,409426,Mads Hermansen,False,0,16,Sub
1787323,339,73797,Koen Casteels,True,100,1,GK
1787323,339,141169,Timothy Castagne,True,100,21,DR
1787323,339,410633,Zeno Debast,True,100,2,DC
1787323,339,299693,Wout Faes,True,100,4,DC
1787323,339,115472,Yannick Carrasco,True,86,11,DL
1787323,339,400815,Amadou Onana,True,100,24,DMC
1787323,339,344073,Orel Mangala,True,59,18,DMC
1787323,339,388098,Jérémy Doku,True,86,22,AMR
1787323,339,73084,Kevin De Bruyne,True,100,7,AMC
1787323,339,113994,Leandro Trossard,True,76,9,AML
1787323,339,78498,Romelu Lukaku,True,100,10,FW
1787323,339,427824,Johan Bakayoko,False,41,19,Sub
1787323,339,136345,Youri Tielemans,False,24,8,Sub
1787323,339,299490,Dodi Lukébakio,False,14,14,Sub
1787323,339,363618,Loïs Openda,False,14,20,Sub
1787323,339,386390,Charles De Ketelaere,False,0,17,Sub
1787323,339,392647,Maxim De Cuyper,False,0,25,Sub
1787323,339,399957,Aster Vranckx,False,0,16,Sub
1787323,339,399961,Arthur Theate,False,0,3,Sub
1787323,339,445430,Arthur Vermeeren,False,0,23,Sub
1787323,339,21778,Jan Vertonghen,False,0,5,Sub
1787323,339,25191,Axel Witsel,False,0,6,Sub
1787323,339,64342,Thomas Kaminski,False,0,12,Sub
1787323,339,78386,Matz Sels,False,0,13,Sub
1787323,484,46092,Martin Dúbravka,True,100,1,GK
1787323,484,28800,Peter Pekarík,True,100,2,DR
1787323,484,129363,Denis Vavro,True,100,3,DC
1787323,484,302918,Milan Skriniar,True,100,14,DC
1787323,484,362779,Dávid Hancko,True,100,16,DL
1787323,484,32514,Juraj Kucka,True,100,19,MC
1787323,484,111892,Stanislav Lobotka,True,100,22,MC
1787323,484,115257,Ondrej Duda,True,96,8,MC
1787323,484,399384,Ivan Schranz,True,83,26,FWR
1787323,484,376967,Róbert Bozeník,True,72,9,FW
1787323,484,141794,Lukás Haraslín,True,72,17,FWL
1787323,484,383862,David Strelec,False,28,18,Sub
1787323,484,391047,Tomás Suslov,False,28,7,Sub
1787323,484,424534,Adam Obert,False,4,4,Sub
1787323,484,456960,Dávid Duris,False,17,20,Sub
1787323,484,108117,Norbert Gyömbér,False,0,6,Sub
1787323,484,116690,Patrik Hrosovsky,False,0,13,Sub
1787323,484,256125,Marek Rodák,False,0,12,Sub
1787323,484,300835,Lubomír Tupta,False,0,10,Sub
1787323,484,318295,Matús Bero,False,0,21,Sub
1787323,484,330780,László Bénes,False,0,11,Sub
1787323,484,369663,Henrich Ravas,False,0,23,Sub
1787323,484,383860,Vernon De Marco,False,0,15,Sub
1787323,484,405322,Tomás Rigo,False,0,5,Sub
1787323,484,424527,Sebastián Kósa,False,0,25,Sub
1787323,484,468119,Leo Sauer,False,0,24,Sub
1787328,327,67369,Péter Gulácsi,True,99,1,GK
1787328,327,104917,Willi Orbán,True,99,6,DC
1787328,327,117962,Ádám Lang,True,48,2,DC
1787328,327,317508,Attila Szalai,True,82,4,DC
1787328,327,136022,Attila Fiola,True,99,5,DMR
1787328,327,424273,Milos Kerkez,True,81,11,DML
1787328,327,295362,Ádám Nagy,True,69,8,MC
1787328,327,369687,András Schäfer,True,99,13,MC
1787328,327,243889,Roland Sallai,True,99,20,AMC
1787328,327,369875,Dominik Szoboszlai,True,99,10,AMC
1787328,327,476796,Barnabás Varga,True,99,19,FW
1787328,327,299951,László Kleinheisler,False,30,15,Sub
1787328,327,394825,Márton Dárdai,False,17,24,Sub
1787328,327,399542,Bendegúz Bolla,False,51,14,Sub
1787328,327,439596,Martin Ádám,False,18,9,Sub
1787328,327,77963,Loïc Négo,False,0,7,Sub
1787328,327,241780,Dénes Dibusz,False,0,12,Sub
1787328,327,300701,Zsolt Nagy,False,0,18,Sub
1787328,327,346515,Endre Botka,False,0,21,Sub
1787328,327,362107,Callum Styles,False,0,17,Sub
1787328,327,366706,Dániel Gazdag,False,0,16,Sub
1787328,327,396424,Botond Balogh,False,0,3,Sub
1787328,327,396557,Krisztofer Horváth,False,0,25,Sub
1787328,327,412209,Mihály Kata,False,0,26,Sub
1787328,327,428132,Péter Szappanos,False,0,22,Sub
1787328,327,476797,Kevin Csoboth,False,0,23,Sub
1787328,423,35758,Yann Sommer,True,99,1,GK
1787328,423,61610,Ricardo Rodríguez,True,99,13,DC
1787328,423,82726,Fabian Schär,True,99,22,DC
1787328,423,297390,Manuel Akanji,True,99,5,DC
1787328,423,103622,Silvan Widmer,True,70,3,DMR
1787328,423,327702,Michel Aebischer,True,99,20,DML
1787328,423,89401,Granit Xhaka,True,99,10,MC
1787328,423,302691,Remo Freuler,True,88,8,MC
1787328,423,381550,Rubén Vargas,True,76,17,AMC
1787328,423,398414,Dan Ndoye,True,88,19,AMC
1787328,423,327701,Kwadwo Duah,True,70,18,FW
1787328,423,143695,Breel Embolo,False,23,7,Sub
1787328,423,298737,Vincent Sierro,False,11,16,Sub
1787328,423,401742,Leonidas Stergiou,False,29,2,Sub
1787328,423,404193,Fabian Rieder,False,11,26,Sub
1787328,423,424624,Zeki Amdouni,False,29,25,Sub
1787328,423,76304,Xherdan Shaqiri,False,0,23,Sub
1787328,423,103542,Yvon Mvogo,False,0,12,Sub
1787328,423,119172,Renato Steffen,False,0,11,Sub
1787328,423,243534,Nico Elvedi,False,0,4,Sub
1787328,423,336028,Gregor Kobel,False,0,21,Sub
1787328,423,376090,Noah Okafor,False,0,9,Sub
1787328,423,383857,Cédric Zesiger,False,0,15,Sub
1787328,423,435100,Ardon Jashari,False,0,24,Sub
1787330,343,262515,Gianluigi Donnarumma,True,99,1,GK
1787330,343,122469,Giovanni Di Lorenzo,True,99,2,DR
1787330,343,329665,Alessandro Bastoni,True,99,23,DC
1787330,343,386519,Riccardo Calafiori,True,99,5,DC
1787330,343,255929,Federico Dimarco,True,86,3,DL
1787330,343,106968,Jorginho,True,99,8,MC
1787330,343,148684,Nicolò Barella,True,95,18,MC
1787330,343,331425,Davide Frattesi,True,99,7,MC
1787330,343,322971,Federico Chiesa,True,80,14,FWR
1787330,343,302650,Gianluca Scamacca,True,86,9,FW
1787330,343,148546,Lorenzo Pellegrini,True,80,10,FWL
1787330,343,23220,Matteo Darmian,False,13,13,Sub
1787330,343,109149,Bryan Cristante,False,19,16,Sub
1787330,343,333294,Michael Folorunsho,False,4,25,Sub
1787330,343,349521,Mateo Retegui,False,13,19,Sub
1787330,343,423440,Andrea Cambiaso,False,19,24,Sub
1787330,343,70087,Stephan El Shaarawy,False,0,22,Sub
1787330,343,147863,Guglielmo Vicario,False,0,12,Sub
1787330,343,149029,Mattia Zaccagni,False,0,20,Sub
1787330,343,241022,Alex Meret,False,0,26,Sub
1787330,343,244804,Gianluca Mancini,False,0,17,Sub
1787330,343,333373,Alessandro Buongiorno,False,0,4,Sub
1787330,343,349184,Raoul Bellanova,False,0,15,Sub
1787330,343,369426,Nicolò Fagioli,False,0,21,Sub
1787330,343,371497,Giacomo Raspadori,False,0,11,Sub
1787330,343,439909,Federico Gatti,False,0,6,Sub
1787330,814,121480,Thomas Strakosha,True,99,23,GK
1787330,814,108345,Elseid Hysaj,True,99,4,DR
1787330,814,100962,Berat Djimsiti,True,99,6,DC
1787330,814,101437,Arlind Ajeti,True,99,5,DC
1787330,814,404283,Mario Mitaj,True,99,3,DL
1787330,814,423450,Kristjan Asllani,True,99,21,DMC
1787330,814,319034,Ylber Ramadani,True,99,20,DMC
1787330,814,279194,Jasir Asani,True,71,9,AMR
1787330,814,423448,Nedim Bajrami,True,90,10,AMC
1787330,814,261978,Taulant Seferi,True,71,15,AML
1787330,814,393407,Armando Broja,True,80,11,FW
1787330,814,294136,Rey Manaj,False,19,7,Sub
1787330,814,298657,Qazim Laçi,False,28,14,Sub
1787330,814,402689,Ernest Muçi,False,9,17,Sub
1787330,814,451517,Arbër Hoxha,False,28,26,Sub
1787330,814,44304,Etrit Berisha,False,0,1,Sub
1787330,814,101613,Iván Balliu,False,0,2,Sub
1787330,814,131176,Amir Abrashi,False,0,22,Sub
1787330,814,132037,Naser Aliji,False,0,25,Sub
1787330,814,236333,Klaus Gjasula,False,0,8,Sub
1787330,814,289296,Elhan Kastrati,False,0,12,Sub
1787330,814,343778,Marash Kumbulla,False,0,24,Sub
1787330,814,363299,Enea Mihaj,False,0,13,Sub
1787330,814,366671,Ardian Ismajli,False,0,18,Sub
1787330,814,439607,Medon Berisha,False,0,16,Sub
1787330,814,383204,Mirlind Daku,False,0,19,Sub
1787334,771,135061,Predrag Rajkovic,True,97,1,GK
1787334,771,141399,Milos Veljkovic,True,97,13,DC
1787334,771,319785,Nikola Milenkovic,True,97,4,DC
1787334,771,383864,Strahinja Pavlovic,True,97,2,DC
1787334,771,137250,Andrija Zivkovic,True,76,14,DMR
1787334,771,105995,Filip Kostic,True,42,11,DML
1787334,771,77417,Nemanja Gudelj,True,48,6,MC
1787334,771,297395,Sasa Lukic,True,63,22,MC
1787334,771,288767,Sergej Milinkovic-Savic,True,97,20,AMC
1787334,771,315369,Dusan Vlahovic,True,97,7,AMC
1787334,771,115279,Aleksandar Mitrovic,True,63,9,FW
1787334,771,29474,Dusan Tadic,False,34,10,Sub
1787334,771,100615,Filip Mladenovic,False,55,25,Sub
1787334,771,315755,Luka Jovic,False,34,8,Sub
1787334,771,401042,Ivan Ilic,False,49,17,Sub
1787334,771,425231,Veljko Birmancevic,False,21,26,Sub
1787334,771,105855,Srdjan Mijailovic,False,0,16,Sub
1787334,771,127920,Uros Spajic,False,0,24,Sub
1787334,771,148934,Srdjan Babic,False,0,15,Sub
1787334,771,149474,Vanja Milinkovic-Savic,False,0,23,Sub
1787334,771,296367,Nemanja Maksimovic,False,0,5,Sub
1787334,771,300318,Mijat Gacinovic,False,0,21,Sub
1787334,771,393039,Lazar Samardzic,False,0,19,Sub
1787334,771,406564,Djordje Petrovic,False,0,12,Sub
1787334,771,471971,Nemanja Stojic,False,0,3,Sub
1787334,771,476789,Petar Ratkov,False,0,18,Sub
1787334,345,110189,Jordan Pickford,True,97,1,GK
1787334,345,69778,Kyle Walker,True,97,2,DR
1787334,345,101374,John Stones,True,97,5,DC
1787334,345,374631,Marc Guéhi,True,97,6,DC
1787334,345,83078,Kieran Trippier,True,97,12,DL
1787334,345,318871,Trent Alexander-Arnold,True,71,8,DMC
1787334,345,332325,Declan Rice,True,97,4,DMC
1787334,345,367185,Bukayo Saka,True,78,7,AMR
1787334,345,379868,Jude Bellingham,True,88,10,AMC
1787334,345,331254,Phil Foden,True,97,11,AML
1787334,345,83532,Harry Kane,True,97,9,FW
1787334,345,322596,Jarrod Bowen,False,19,20,Sub
1787334,345,375621,Conor Gallagher,False,26,16,Sub
1787334,345,460260,Kobbie Mainoo,False,9,26,Sub
1787334,345,86441,Lewis Dunk,False,0,15,Sub
1787334,345,118244,Luke Shaw,False,0,3,Sub
1787334,345,134240,Ivan Toney,False,0,17,Sub
1787334,345,136451,Joe Gomez,False,0,22,Sub
1787334,345,148503,Ollie Watkins,False,0,19,Sub
1787334,345,301440,Ezri Konsa,False,0,14,Sub
1787334,345,304008,Dean Henderson,False,0,23,Sub
1787334,345,316858,Aaron Ramsdale,False,0,13,Sub
1787334,345,332403,Eberechi Eze,False,0,21,Sub
1787334,345,349669,Anthony Gordon,False,0,18,Sub
1787334,345,395692,Cole Palmer,False,0,24,Sub
1787334,345,430774,Adam Wharton,False,0,25,Sub
1812234,412,135695,Florin Nita,True,97,1,GK
1812234,412,372331,Andrei Ratiu,True,97,2,DR
1812234,412,383802,Andrei Burca,True,97,15,DC
1812234,412,400097,Radu Dragusin,True,97,3,DC
1812234,412,346465,Nicusor Bancu,True,97,11,DL
1812234,412,330629,Marius Marin,True,77,6,DMC
1812234,412,329769,Dennis Man,True,64,20,MR
1812234,412,111891,Nicolae Stanciu,True,89,21,MC
1812234,412,239013,Razvan Marin,True,97,18,MC
1812234,412,345556,Florinel Coman,True,64,17,ML
1812234,412,363199,Denis Dragus,True,77,19,FW
1812234,412,137840,George Puscas,False,20,9,Sub
1812234,412,281272,Ianis Hagi,False,33,10,Sub
1812234,412,377305,Adrian Rus,False,20,4,Sub
1812234,412,398228,Bogdan Racovitan,False,8,24,Sub
1812234,412,400090,Valentin Mihaila,False,33,13,Sub
1812234,412,74162,Denis Alibec,False,0,7,Sub
1812234,412,244634,Ionut Nedelcearu,False,0,5,Sub
1812234,412,260123,Vasile Mogos,False,0,22,Sub
1812234,412,366668,Alexandru Cicâldau,False,0,8,Sub
1812234,412,377306,Darius Olaru,False,0,14,Sub
1812234,412,401617,Adrian Sut,False,0,26,Sub
1812234,412,409401,Horatiu Moldovan,False,0,12,Sub
1812234,412,424398,Deian Sorescu,False,0,23,Sub
1812234,412,439795,Stefan Târnovanu,False,0,16,Sub
1812234,412,443621,Daniel Bîrligea,False,0,25,Sub
1812234,462,345031,Andrii Lunin,True,97,23,GK
1812234,462,399829,Yukhym Konoplia,True,74,2,DR
1812234,462,284817,Mykola Matviienko,True,97,22,DC
1812234,462,399826,Illia Zabarnyi,True,97,13,DC
